seed,arch,corruption,gate,BFMP_AUROC,BFMP_AUPR,FHR_MAE,FHR_RMSE,FHR_R2,MCD_AUROC,DE_AUROC,ODIN_AUROC,AE_AUROC,ABL_ESS,ABL_ADD,ABL_ODD,ABL_NAIVE,ABL_LCFS
3,cnn,glass_blur,ODD,0.8286313657407407,0.9895796713723382,0.39405487845341364,0.5309778432969255,-0.09571837965704355,0.5891927083333334,0.5392071759259259,0.5650318287037037,0.49189814814814814,0.7212818287037036,0.8221209490740742,0.7037760416666666,0.7615740740740741,0.8286313657407407
4,cnn,glass_blur,ODD,0.8251809166443314,0.9895052432528347,0.43445384110013646,0.5527572547176589,-0.011733089446012146,0.6616858751005094,0.6387027606539801,0.664031090860359,0.5115250603055481,0.7435674082015544,0.8179442508710802,0.7343205574912891,0.7944920932725811,0.8251809166443314
0,cnn,motion_blur,ODD,0.7462958280657395,0.9718273513144041,0.549581366131703,0.6637044578020909,-0.17894669306073308,0.4847534766118837,0.5559039190897598,0.45458912768647286,0.4369152970922882,0.5590897597977245,0.7770922882427307,0.5717825537294564,0.6914285714285713,0.7462958280657395
1,cnn,motion_blur,ODD,0.6871093396140955,0.9834947210173375,0.3670112143953641,0.5061611657101682,-0.13973215909133918,0.47241597970830695,0.43636198931062603,0.3801974816559471,0.554941570794456,0.5676238789745448,0.8238970921279101,0.5726968022465803,0.6730682127004257,0.6871093396140955
2,cnn,motion_blur,ODD,0.5787504676393564,0.9600165146165716,0.5481798572341601,0.6719857933831691,-0.21392041535866224,0.44289455400566513,0.5566244455133345,0.4004596226818449,0.4990647212869435,0.5636791192346748,0.729463951686174,0.5656031211586767,0.6692320025653359,0.5787504676393564
3,cnn,motion_blur,ODD,0.6603826086956521,0.9706824130557772,0.463242338274916,0.5824091283005319,-0.19859972498751244,0.47846956521739126,0.5845565217391304,0.4714434782608695,0.5654956521739131,0.5542260869565216,0.8527304347826087,0.5665391304347825,0.6990956521739131,0.6603826086956521
4,cnn,motion_blur,ODD,0.7955955955955957,0.9773306052613678,0.6166165996094545,0.7296721821265618,-0.1130827566534176,0.49101101101101097,0.5073473473473474,0.5477877877877878,0.5225625625625625,0.690890890890891,0.8231031031031031,0.6996996996996997,0.7791991991991992,0.7955955955955957
0,cnn,zoom_blur,ODD,0.8391065253132264,0.9893328051234338,0.4851861191789309,0.6100383858056596,-0.08744204201538075,0.5248596859232383,0.4601734792221781,0.5677192584613641,0.5863711094733263,0.5539996598446624,0.86331424683939,0.5560972844265548,0.720222234820568,0.8391065253132264
1,cnn,zoom_blur,ODD,0.6939570164348925,0.975488881503342,0.5334623936812083,0.6636299850305512,-0.18389259575858374,0.5254108723135272,0.5711251580278129,0.47575221238938054,0.6098609355246523,0.5091782553729457,0.8099115044247788,0.5207079646017699,0.6876359039190898,0.6939570164348925
2,cnn,zoom_blur,ODD,0.7173273884527157,0.9501726054361941,0.7301047246654828,0.8343040920984067,-0.190581099121365,0.4735872831249394,0.5055410164453491,0.5076895738425253,0.5378824593712643,0.6024684178217183,0.7844334593389551,0.601369907272786,0.6876029853639625,0.7173273884527157
3,cnn,zoom_blur,ODD,0.717400580303806,0.9715830763078932,0.4763762566943963,0.6637447709939355,-0.013966368963821418,0.5014934289127837,0.3945212493599591,0.4547917733401605,0.46394435910564946,0.44977811913295784,0.85347328895716,0.4727342549923195,0.5976489161973032,0.717400580303806
4,cnn,zoom_blur,ODD,0.6900000000000001,0.9590943746874732,0.5961718443532785,0.7363936049817148,-0.07396063773823491,0.4726181818181818,0.4825454545454546,0.5635636363636365,0.4188727272727273,0.6012727272727273,0.8166181818181818,0.6125454545454545,0.7079090909090909,0.6900000000000001
0,cnn,snow,ODD,0.7267478260869564,0.9828605777801891,0.4565013978878657,0.5817003864172511,-0.14487896842925285,0.5576347826086957,0.5173565217391305,0.5890782608695652,0.5095652173913043,0.5847652173913043,0.8200347826086957,0.5907478260869564,0.6668869565217391,0.7267478260869564
1,cnn,snow,ODD,0.7659166582585006,0.9914496298962336,0.3116082862516244,0.45913593326344393,-0.023122209328341192,0.5052971445868227,0.5178084956109373,0.5425285036827767,0.5997376652204621,0.5319342145091313,0.79073756432247,0.5218444152961357,0.6555342548683281,0.7659166582585006
2,cnn,snow,ODD,0.7284426554793355,0.9759936831731927,0.45008874957760175,0.5911275031452805,-0.016085271808007118,0.5594421452463292,0.5444753103917456,0.5766199897953399,0.5649413232042633,0.6297409150178581,0.7860422926469756,0.6199897953398718,0.689466523045524,0.7284426554793355
3,cnn,snow,ODD,0.7977281405116456,0.9899448609770554,0.33832000511387983,0.5046626894359882,-0.07322160385756127,0.6566437571592211,0.5176594119893089,0.6472890416189385,0.45771286750668194,0.6793623520427645,0.7716685757922872,0.6653302787323406,0.7504295532646048,0.7977281405116456
